,Country Pairing,Tension Score
314,Afghanistan-Maldives,1.31
316,Yemen-Turkmenistan,98.925
318,Yemen-Japan,98.06
319,Yemen-Vietnam,97.335
320,Yemen-Oman,61.315
321,Yemen-Kyrgyzstan,97.655
322,Yemen-Syria,78.595
325,Yemen-N. Korea,90.1
326,Yemen-S. Korea,98.26
327,Yemen-Azerbaijan,90.63
328,Yemen-United Arab Emirates,88.075
329,Yemen-Sri Lanka,30.91
330,Yemen-Israel,97.54
331,Yemen-Uzbekistan,87.125
332,Yemen-Laos,6.355
334,Yemen-Tajikistan,99.305
335,Yemen-Jordan,98.82
336,Yemen-Georgia,1.63
337,Yemen-Bhutan,95.5
338,Yemen-Armenia,97.295
339,Yemen-Kuwait,97.445
340,Yemen-Qatar,87.53
341,Yemen-Lebanon,97.895
342,Yemen-Singapore,0.375
343,Yemen-Bahrain,95.68
345,Thailand-Turkmenistan,15.96
346,Thailand-Iraq,98.14
347,Thailand-Japan,2.8
348,Thailand-Vietnam,0.48
349,Thailand-Oman,0.305
350,Thailand-Kyrgyzstan,1.06
351,Thailand-Syria,98.51
352,Thailand-Bangladesh,92.405
353,Thailand-Nepal,0.23
354,Thailand-N. Korea,98.06
355,Thailand-S. Korea,0.4
356,Thailand-Azerbaijan,0.985
357,Thailand-United Arab Emirates,2.68
358,Thailand-Sri Lanka,4.24
359,Thailand-Israel,2.54
360,Thailand-Uzbekistan,3.375
361,Thailand-Laos,4.675
362,Thailand-Cambodia,84.54
363,Thailand-Tajikistan,2.79
364,Thailand-Jordan,0.665
365,Thailand-Georgia,5.45
366,Thailand-Bhutan,0.245
367,Thailand-Armenia,0.75
368,Thailand-Kuwait,1.145
369,Thailand-Qatar,2.955
370,Thailand-Lebanon,12.875
371,Thailand-Singapore,0.53
372,Thailand-Bahrain,0.31
373,Thailand-Maldives,7.405
374,Turkmenistan-Iraq,96.8
375,Turkmenistan-Japan,97.895
376,Turkmenistan-Vietnam,1.835
377,Turkmenistan-Oman,44.055
378,Turkmenistan-Kyrgyzstan,95.16
379,Turkmenistan-Syria,88.585
380,Turkmenistan-Bangladesh,75.53
381,Turkmenistan-Nepal,12.82
382,Turkmenistan-N. Korea,99.21
383,Turkmenistan-S. Korea,99.13
384,Turkmenistan-Azerbaijan,94.17
385,Turkmenistan-United Arab Emirates,96.855
386,Turkmenistan-Sri Lanka,0.885
387,Turkmenistan-Israel,95.345
388,Turkmenistan-Uzbekistan,90.465
389,Turkmenistan-Laos,1.34
390,Turkmenistan-Cambodia,46.14
391,Turkmenistan-Tajikistan,97.425
392,Turkmenistan-Jordan,98.015
393,Turkmenistan-Georgia,98.49
394,Turkmenistan-Bhutan,0.685
395,Turkmenistan-Armenia,96.965
396,Turkmenistan-Kuwait,94.67
397,Turkmenistan-Qatar,91.125
398,Turkmenistan-Lebanon,98.97
399,Turkmenistan-Singapore,0.805
400,Turkmenistan-Bahrain,4.1
401,Turkmenistan-Maldives,98.61
402,Iraq-Japan,96.5
403,Iraq-Vietnam,78.545
404,Iraq-Oman,2.495
405,Iraq-Kyrgyzstan,0.91
406,Iraq-Syria,99.245
407,Iraq-Bangladesh,87.235
408,Iraq-Nepal,40.715
409,Iraq-N. Korea,99.245
410,Iraq-S. Korea,1.04
411,Iraq-Azerbaijan,98.78
412,Iraq-United Arab Emirates,98.755
413,Iraq-Sri Lanka,99.17
414,Iraq-Israel,98.035
415,Iraq-Uzbekistan,98.65
416,Iraq-Laos,98.17
417,Iraq-Cambodia,96.965
418,Iraq-Tajikistan,94.66
419,Iraq-Jordan,89.53
420,Iraq-Georgia,93.6
421,Iraq-Bhutan,97.265
422,Iraq-Armenia,84.04
423,Iraq-Kuwait,99.615
424,Iraq-Qatar,98.565
425,Iraq-Lebanon,91.595
426,Iraq-Singapore,13.07
427,Iraq-Bahrain,97.425
428,Iraq-Maldives,98.09
429,Japan-Vietnam,91.89
430,Japan-Oman,0.495
